Store,Dept,Date,Weekly_Sales,IsHoliday
1,1,2011-01-01,22483.57,TRUE
1,1,2011-01-02,19308.68,TRUE
1,1,2011-01-03,23238.44,FALSE
1,1,2011-01-04,27615.15,FALSE
1,1,2011-01-05,18829.23,FALSE
1,1,2011-01-06,18829.32,FALSE
1,1,2011-01-07,27896.06,FALSE
1,1,2011-01-08,23837.17,TRUE
1,1,2011-01-09,17652.63,TRUE
1,1,2011-01-10,22712.8,FALSE
1,1,2011-01-11,17682.91,FALSE
1,1,2011-01-12,17671.35,FALSE
1,1,2011-01-13,21209.81,FALSE
1,1,2011-01-14,10433.6,FALSE
1,1,2011-01-15,11375.41,TRUE
1,1,2011-01-16,17188.56,TRUE
1,1,2011-01-17,14935.84,FALSE
1,1,2011-01-18,21571.24,FALSE
1,1,2011-01-19,15459.88,FALSE
1,1,2011-01-20,12938.48,FALSE
1,1,2011-01-21,27328.24,FALSE
1,1,2011-01-22,18871.12,TRUE
1,1,2011-01-23,20337.64,TRUE
1,1,2011-01-24,12876.26,FALSE
1,1,2011-01-25,17278.09,FALSE
1,1,2011-01-26,20554.61,FALSE
1,1,2011-01-27,14245.03,FALSE
1,1,2011-01-28,21878.49,FALSE
1,1,2011-01-29,16996.81,TRUE
1,1,2011-01-30,18541.53,TRUE
1,1,2011-01-31,16991.47,FALSE
1,1,2011-02-01,29261.39,FALSE
1,1,2011-02-02,19932.51,FALSE
1,1,2011-02-03,14711.45,FALSE
1,1,2011-02-04,24112.72,FALSE
1,1,2011-02-05,13895.78,TRUE
1,1,2011-02-06,21044.32,TRUE
1,1,2011-02-07,10201.65,FALSE
1,1,2011-02-08,13359.07,FALSE
1,1,2011-02-09,20984.31,FALSE
1,1,2011-02-10,23692.33,FALSE
1,1,2011-02-11,20856.84,FALSE
1,1,2011-02-12,19421.76,TRUE
1,1,2011-02-13,18494.48,TRUE
1,1,2011-02-14,12607.39,FALSE
1,1,2011-02-15,16400.78,FALSE
1,1,2011-02-16,17696.81,FALSE
1,1,2011-02-17,25285.61,FALSE
1,1,2011-02-18,21718.09,FALSE
1,1,2011-02-19,11184.8,TRUE
1,1,2011-02-20,21620.42,TRUE
1,1,2011-02-21,18074.59,FALSE
1,1,2011-02-22,16615.39,FALSE
1,1,2011-02-23,23058.38,FALSE
1,1,2011-02-24,25155.0,FALSE
1,1,2011-02-25,24656.4,FALSE
1,1,2011-02-26,15803.91,TRUE
1,1,2011-02-27,18453.94,TRUE
1,1,2011-02-28,21656.32,FALSE
1,1,2011-03-01,24877.73,FALSE
1,1,2011-03-02,17604.13,FALSE
1,1,2011-03-03,19071.71,FALSE
1,1,2011-03-04,14468.33,FALSE
1,1,2011-03-05,14018.97,TRUE
1,1,2011-03-06,24062.63,TRUE
1,1,2011-03-07,26781.2,FALSE
1,1,2011-03-08,19639.95,FALSE
1,1,2011-03-09,25017.66,FALSE
1,1,2011-03-10,21808.18,FALSE
1,1,2011-03-11,16774.4,FALSE
1,1,2011-03-12,21806.98,TRUE
1,1,2011-03-13,27690.18,TRUE
1,1,2011-03-14,19820.87,FALSE
1,1,2011-03-15,27823.22,FALSE
1,1,2011-03-16,6901.27,FALSE
1,1,2011-03-17,24109.51,FALSE
1,1,2011-03-18,20435.24,FALSE
1,1,2011-03-19,18504.96,TRUE
1,1,2011-03-20,20458.8,TRUE
1,1,2011-03-21,10062.16,FALSE
1,1,2011-03-22,18901.64,FALSE
1,1,2011-03-23,21785.56,FALSE
1,1,2011-03-24,27389.47,FALSE
1,1,2011-03-25,17408.65,FALSE
1,1,2011-03-26,15957.53,TRUE
1,1,2011-03-27,17491.21,TRUE
1,1,2011-03-28,24577.01,FALSE
1,1,2011-03-29,21643.76,FALSE
1,1,2011-03-30,17351.2,FALSE
1,1,2011-03-31,22566.34,FALSE
1,1,2011-04-01,20485.39,FALSE
1,1,2011-04-02,24843.22,TRUE
1,1,2011-04-03,16489.73,TRUE
1,1,2011-04-04,18361.69,FALSE
1,1,2011-04-05,18039.46,FALSE
1,1,2011-04-06,12682.43,FALSE
1,1,2011-04-07,21480.6,FALSE
1,1,2011-04-08,21305.28,FALSE
1,1,2011-04-09,20025.57,TRUE
1,1,2011-04-10,18827.06,TRUE
1,1,2011-04-11,12923.15,FALSE
